BEER,BREWERY,LOCATION,STYLE,SUBSTYLE,,SIZE,ABV,IBUs,Unique
Black Star Double Hopped Golden Lager (24 oz.),Great Northern Brewing Company,"Whitefish, MT",Lager,American Pale Lager,,24,0.045,15,a1
Blacktop Blonde,TailGate Beer,"San Diego, CA",Other Ale,American Blonde Ale,,24,0.05,19,a2
TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Wheat,Hefeweizen,,24,0.049,28,a3
TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,American IPA,,24,0.05,44,a4
Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Pilsner,Czech Pilsener,,19.2,0.053,35,a5
Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),American Pale Ale (APA),,19.2,0.065,65,a6
Dale's Pale Ale,Oskar Blues Brewery,"Brevard, NC",American Pale Ale (APA),American Pale Ale (APA),,19.2,0.065,65,a7
Mo's Gose,Armstrong Brewing Company,"South San Francisco, CA",Sour,Gose,,16,0.052,10,a8
Widespread Wit,Great River Brewery,"Davenport, IA",Wheat,Witbier,,16,0.055,10,a9
Apollo,Sixpoint Craft Ales,"Brooklyn, NY",Other Ale,American Pale Wheat Ale,,16,0.052,11,a10
Cold Smoke Scotch Ale,Kettle House Brewing Company,"Missoula, MT",Other Ale,Scotch Ale / Wee Heavy,,16,0.065,11,a11
Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,"Missoula, MT",Other Ale,Scotch Ale / Wee Heavy,,16,0.065,11,a12
Tallgrass Pub Ale,Tallgrass Brewing Company,"Manhattan, KS",Other Ale,American Brown Ale,,16,0.044,12,a13
Full Boar Scotch Ale,Devil's Canyon Brewery,"Belmont, CA",Other Ale,Scotch Ale / Wee Heavy,,16,0.074,12,a14
Wheat the People,Coalition Brewing Company,"Portland, OR",Other Ale,American Pale Wheat Ale,,16,0.044,13,a15
Great Crescent Belgian Style Wit,Great Crescent Brewery,"Aurora, IN",Other Ale,Witbier,,16,0.051,13,a16
Narragansett Fest Lager,Narragansett Brewing Company,"Providence, RI",Oktoberfest,Mê_rzen / Oktoberfest,,16,0.055,15,a17
Kê_ld Lager (2010),Tallgrass Brewing Company,"Manhattan, KS",Lager,German Pilsener,,16,0.05,16,a18
Black Walnut Wheat,Piney River Brewing Company,"Bucryus, MO",Other Ale,American Dark Wheat Ale,,16,0.045,18,a19
Flaming Damsel Lager (2010),Milwaukee Brewing Company,"Milwaukee, WI",Lager,Vienna Lager,,16,0.048,18,a20
The Lawn Ranger,Cedar Creek Brewery,"Seven Points, TX",Other Ale,Cream Ale,,16,0.05,18,a21
Haywire Hefeweizen (2010),Pyramid Breweries,"Seattle, WA",Wheat,Hefeweizen,,16,0.052,18,a22
Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit,Fruit / Vegetable Beer,,16,0.057,18,a23
The Hole in Hadrian's Wall,Okoboji Brewing Company,"Spirit Lake, IA",Other Ale,Scottish Ale,,16,0.095,19,a24
Hilliard's Blonde,Hilliard's Beer,"Seattle, WA",Other Ale,American Blonde Ale,,16,0.049,20,a25
Bombshell Blonde,Southern Star Brewing Company,"Conroe, TX",Other Ale,American Blonde Ale,,16,0.05,20,a26
Buffalo Sweat (2010),Tallgrass Brewing Company,"Manhattan, KS",Stout/Porter,Milk / Sweet Stout,,16,0.05,20,a27
Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Stout/Porter,Milk / Sweet Stout,,16,0.05,20,a28
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",Other Ale,American Pale Wheat Ale,,16,0.05,20,a29
Hell,Surly Brewing Company,"Brooklyn Center, MN",Lager,Keller Bier / Zwickel Bier,,16,0.051,20,a30
Sunlight Cream Ale,Sun King Brewing Company,"Indianapolis, IN",Other Ale,Cream Ale,,16,0.053,20,a31
McKinney Eddy Amber Ale,Piney River Brewing Company,"Bucryus, MO",Red Ale,American Amber / Red Ale,,16,0.055,20,a32
Booyah Farmhouse Ale,Milwaukee Brewing Company,"Milwaukee, WI",Other Ale,Saison / Farmhouse Ale,,16,0.065,20,a33
Farmer John's Multi-Grain Ale,Confluence Brewing Company,"Des Moines, IA",Other Ale,American Blonde Ale,,16,0.056,21,a34
Rat City Blonde,Big Al Brewing,"Seattle, WA",Other Ale,American Blonde Ale,,16,0.04,22,a35
Tallgrass Ale,Tallgrass Brewing Company,"Manhattan, KS",Other Ale,American Brown Ale,,16,0.044,22,a36
Old Town Ale,Pateros Creek Brewing Company,"Fort Collins, CO",Other Ale,Kê_lsch,,16,0.045,22,a37
Capital Gold Golden Lager,Confluence Brewing Company,"Des Moines, IA",Lager,German Pilsener,,16,0.048,22,a38
Narragansett Cream Ale,Narragansett Brewing Company,"Providence, RI",Other Ale,Cream Ale,,16,0.05,22,a39
Rivet Irish Red Ale,Tin Man Brewing Company,"Evansville, IN",Other Ale,Irish Red Ale,,16,0.051,22,a40
Great Crescent Blonde Ale,Great Crescent Brewery,"Aurora, IN",Other Ale,American Blonde Ale,,16,0.053,22,a41
Farmer Brown Ale,Great River Brewery,"Davenport, IA",Other Ale,American Brown Ale,,16,0.07,22,a42
